Longitude,Latitude,Pops,Key,Region,Collection_Region,,,,
-112.006,37.087,W38_EB,In-situ,West,In-situ_West,,,,
-111.984,37.096,W9_EB,In-situ,West,In-situ_West,,,,
-111.9837,37.09571,SH_W4,In-situ,West,In-situ_West,,,,
-111.5398813,36.786009,SH_W5,In-situ,West,In-situ_West,,,,
-111.189,37.518,W33_EB,In-situ,West,In-situ_West,,,,
-111.113,37.379,W32_EB,In-situ,West,In-situ_West,,,,
-110.904,38.324,W43_EB,In-situ,West,In-situ_West,,,,
-110.721,39.009,W37_EB,In-situ,West,In-situ_West,,,,
-110.602,38.065,W23_EB,In-situ,West,In-situ_West,,,,
-110.575,37.961,W22_EB,In-situ,West,In-situ_West,,,,
-110.569,38,W26_EB,In-situ,West,In-situ_West,,,,
-110.519,37.382,W16_EB,In-situ,West,In-situ_West,,,,
-110.508,37.387,W17_EB,In-situ,West,In-situ_West,,,,
-110.506,37.421,W20_EB,In-situ,West,In-situ_West,,,,
-110.505,37.421,W19_EB,In-situ,West,In-situ_West,,,,
-110.459,37.404,W18_EB,In-situ,West,In-situ_West,,,,
-110.162,37.423,W21_EB,In-situ,West,In-situ_West,,,,
-110.069,37.064,W8_EB,In-situ,West,In-situ_West,,,,
-110.028,37.83,W41_EB,In-situ,West,In-situ_West,,,,
-109.976,37.237,W12_EB,In-situ,West,In-situ_West,,,,
-109.973,37.234,W11_EB,In-situ,West,In-situ_West,,,,
-109.966,37.231,W10_EB,In-situ,West,In-situ_West,,,,
-109.953,37.321,W15_EB,In-situ,West,In-situ_West,,,,
-109.9122742,37.241648,SH_WAUX1,In-situ,West,In-situ_West,,,,
-109.912,37.242,W13_EB,In-situ,West,In-situ_West,,,,
-109.808,37.591,W40_EB,In-situ,West,In-situ_West,,,,
-109.789,37.623,W34_EB,In-situ,West,In-situ_West,,,,
-109.725,38.762,W25_EB,In-situ,West,In-situ_West,,,,
-109.7249519,38.761722,SH_W10,In-situ,West,In-situ_West,,,,
-109.694604,38.697193,SH_WAUX4,In-situ,West,In-situ_West,,,,
-109.679,38.206,W42_EB,In-situ,West,In-situ_West,,,,
-109.66,38.71,W30_EB,In-situ,West,In-situ_West,,,,
-109.65,37.267,W14_EB,In-situ,West,In-situ_West,,,,
-109.65,37.26,W27_EB,In-situ,West,In-situ_West,,,,
-109.633931,37.522536,SH_WAUX2,In-situ,West,In-situ_West,,,,
-109.623,37.323,W39_EB,In-situ,West,In-situ_West,,,,
-109.62,37.32,W28_EB,In-situ,West,In-situ_West,,,,
-109.573,38.974,W36_EB,In-situ,West,In-situ_West,,,,
-109.563,38.744,W31_EB,In-situ,West,In-situ_West,,,,
-109.533,38.574,W29_EB,In-situ,West,In-situ_West,,,,
-109.527,38.573,W24_EB,In-situ,West,In-situ_West,,,,
-109.4,38.5,W35_EB,In-situ,West,In-situ_West,,,,
-108.986,39.195,W5_EB,In-situ,West,In-situ_West,,,,
-108.634,39.031,W3_EB,In-situ,West,In-situ_West,,,,
-108.631,39.03,W2_EB,In-situ,West,In-situ_West,,,,
-108.631,39.032,W4_EB,In-situ,West,In-situ_West,,,,
-108.6,37.34,W1_EB,In-situ,West,In-situ_West,,,,
-108.321,36.509,W7_EB,In-situ,West,In-situ_West,,,,
-107.172,34.998,W44_EB,In-situ,West,In-situ_West,,,,
-107.1716702,34.998287,SH_W11,In-situ,West,In-situ_West,,,,
-105.1060839,38.502309,SH_W12,In-situ,West,In-situ_West,,,,
-104.486,33.39,E37_EB,In-situ,East,In-situ_East,,,,
-104.47,33.362,E57_EB,In-situ,East,In-situ_East,,,,
-104.369,34.359,E60_EB,In-situ,East,In-situ_East,,,,
-104.306,32.458,E53_EB,In-situ,East,In-situ_East,,,,
-104.232,33.099,E47_EB,In-situ,East,In-situ_East,,,,
-104.179,33.107,E23_EB,In-situ,East,In-situ_East,,,,
-104.088,33.393,E58_EB,In-situ,East,In-situ_East,,,,
-104.055,33.695,E28_EB,In-situ,East,In-situ_East,,,,
-104.017,33.42,E48_EB,In-situ,East,In-situ_East,,,,
-103.985,33.014,E45_EB,In-situ,East,In-situ_East,,,,
-103.98,32.48,E54_EB,In-situ,East,In-situ_East,,,,
-103.937,32.511,E55_EB,In-situ,East,In-situ_East,,,,
-103.877,32.814,E44_EB,In-situ,East,In-situ_East,,,,
-103.877,33.02,E46_EB,In-situ,East,In-situ_East,,,,
-103.8673878,33.40777,SH_E2,In-situ,East,In-situ_East,,,,
-103.867,33.408,E25_EB,In-situ,East,In-situ_East,,,,
-103.863,33.402,E24_EB,In-situ,East,In-situ_East,,,,
-103.851,32.349,E50_EB,In-situ,East,In-situ_East,,,,
-103.817,32.305,E6_EB,In-situ,East,In-situ_East,,,,
-103.815,33.447,E26_EB,In-situ,East,In-situ_East,,,,
-103.809,33.812,E29_EB,In-situ,East,In-situ_East,,,,
-103.8,32.363,E10_EB,In-situ,East,In-situ_East,,,,
-103.8,32.378,E13_EB,In-situ,East,In-situ_East,,,,
-103.8,32.421,E16_EB,In-situ,East,In-situ_East,,,,
